series_number,data_series
1,Number Of Gazetted Hotels (At End Year) (Number)
2,Average Occupancy Rate (Per Cent)
3,Available Room Nights (Number)
4,Average Room Rate (Dollar)
5,Room Revenue (Thousand Dollars)
